,,Start or Timeframe,,,End,,,,,,,,This1,This2,This3
Jihad Plot Sourcebook - Final Reckoning,50,3073,4,17,,,,"The White Tigers ""Warrior House"" launches a brutal raid against the Oriente world of Les Halles.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,25,3073,4,17,,,,The White Tigers “Warrior House” launches a brutal raid against the Oriente world of Les Halles.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,53,3075,4,17,,,,"An unidentified Word of Blake Shadow Division reportedly retakes Gabriel in the Odessa system, backed up by an Essex-class destroyer and a Black Lion-class battle cruiser.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - Terra,14,3075,4,17,,,,"An unidentified Word of Blake Shadow Division reportedly retakes Gabriel in the Odessa system, backed up by an Essex-class destroyer and a Black Lion-class battlecruiser",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,56,3077,4,17,,,,"During the effort to liberate Nashira from the Word of Blake, a miscalculated orbital strike called in by the Draconis front field commander accidentally vaporizes half of the planetary capital of Kyoto City, instead of the nearby Blakist fortifications.",,,,,,,
Era Report 3145,18,3135,4,17,,,,Senate conspiracy forces attack Republic troops on Terra.,,,,,,,
Field Manual - 3145,23,3135,4,17,,,,Senate rebel forces attack Republic troops on Terra.,,,,,,,
Historical - Wars of the Republic Era,16,3135,4,17,,,,Senate forces clash with the RAF on Terra.,,,,,,,
Era Report 2750,14,2602,4,18,,,,Ian Cameron dies. Ian’s son Nicholas becomes the second First Lord of the Star League.,,,,,,,
Historical - Fedcom Civil War,13,3055,4,18,,,,Clan Wolf joins the AFFC in operations against the Red Corsair once evidence of Clan support is proven,,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",33,3060,4,18,,,,Victor Steiner-Davion leads an SLDF task force to Strana Mechty and challenges the Grand Council to a Trial of Refusal.,,,,,,,
Era Digest: Dark Age,10,3133,4,18,,,,Spirit Cats seize oil felds on Addicks.,,,,,,,
House Book House Davion,71,2866,4,19,,,,Operation PENDRAGON begins.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,60,3081,4,19,,,,"In accordance with the treaty ending the FedSuns-Taurian conflict, the TCS Vendetta is formally ceded to the neutral Calderon Protectorate under a multinational crew.",,,,,,,
Field Manual - Update,14,3067,4,20,,,,"Field Marshals Ardan Sortek and Simon Gallagher killed; Archon Katherine Steiner-Davion surrenders on New Avalon, officially ending the FedCom Civil War",,,,,,,
House Book House Davion,83,3067,4,20,,,,Battle of New Avalon ends; end of FedCom Civil War.,,,,,,,
Jihad Plot Sourcebook - Blake Ascending,170,3067,4,20,,,,FedCom Civil War ends.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,43,3067,4,20,,,,FedCom Civil War ends.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,47,3070,4,20,,,,"On An Ting, the sudden outbreak of a plague bearing an unsettling similarity to the Curse of Galedon prompts the Combine leadership to launch an immediate investigation.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3072,22,3070,4,20,,,,"On An Ting, the sudden outbreak of a plague bearing an unsettling similarity to the Curse of Galedon prompts the Combine leadership to launch an immediate investigation.",,,,,,,
Handbook House Marik,52,3036,4,21,,,,Maximillian Liao commits suicide. Romano Liao becomes Chancellor. [December 5] Thomas Marik reappears and becomes Captain-General. ComStar agrees to supply him with information in return for the right to station Com Guard forces in the Free Worlds League.,,,,,,,
Era Report 3062,24,3058,4,21,,,,Coventry Expeditionary Force launches three pronged attack on Jade Falcon forces at Port St. William. Waco’s Rangers destroyed.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,48,3071,4,21,3071,4,30,"Clan Ice Hellion assaults the coreward worlds of the Jade Falcon Occupation Zone with a force of four Galaxies and thirteen Warships. Encountering relatively light resistance, the Hellions claim thirteen coreward Falcon worlds, including Bone-Norman through Toland.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,14,3071,4,21,3071,4,30,"Clan Ice Hellion assaults the coreward worlds of the Jade Falcon Occupation Zone with a force of four Galaxies and thirteen Warships. Encountering relatively light resistance, the Hellions claim thirteen coreward Falcon worlds, including Bone-Norman through Toland.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,47,3074,4,21,,,,"The Coventry liberation is completed. At the same time, roughly three regiments’ worth of allied troops arrive on Skye.",,,,,,,
Era Report 3145,19,3136,4,21,,,,Kenyon Marik exiled for life from Marik-Stewart Commonwealth and disowned by his father Anson.,,,,,,,
Era Report 3145,21,3139,4,21,,,,Conquest of Atreus by Oriente-led coalition. Lasts until 27 April.,,,,,,,
Field Manual - 3145,24,3139,4,21,,,,21 to 27 April. Atreus conquered by Oriente-led coalition.,,,,,,,
Era Report 2750,17,2725,4,23,,,,"Joseph Davion asks the High Council to intercede. Fearful of leaving the Hegemony vulnerable, Cameron censures the Combine, but refuses to commit any SLDF units to end the offensive.",,,,,,,
Era Report 2750,18,2729,4,23,,,,House Stewart and House Schenk side with Elise Marik (loyalists).,,,,,,,
Unit Book - Wolf's Dragoons,47,3028,4,23,,,,"The Dragoons contract with the Draconis Combine expires.  While the Dragoon dependents arrive safely In the Cassias system, the Misery campaign begins. The Dragoons hold off Ryuken, the Eighth Sword of Light, and the Seventeenth and Twenty-First Galedon Regulars for over a week, and on May 20, the last battle takes place on Misery. The Dragoons and the Twenty-first Galedon regulars suffer heavy casualties, the Seventeenth Galedon Regulars and half of the Ryuken units are destroyed, and Tetsuhara performs seppuku.",,,,,,,
Field Manual - Update,8,3060,4,23,,,,The Great Refusal is fought on the Clan homeworld of Strana Mechty,,,,,,,
Historical - Fedcom Civil War,16,3060,4,23,,,,The Great Refusal is fought on the Clan homeworld of Strana Mechty; the Bulldog and Serpent task forces prepare for return to the Inner Sphere,,,,,,,
House Book House Davion,83,3060,4,23,,,,"Great Refusal is fought; SLDF wins the Refusal, ending the Clan Invasion permanently.",,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",33,3060,4,23,,,,"The Great Refusal is fought between the eight Crusader Clans and the SLDF. The Inner Sphere forces win five, draw one and lose two of the engagements. The Nova Cats fight on the SLDF side.",,,,,,,
Historical - Fedcom Civil War,14,3056,4,24,,,,Ryan Steiner assassinated,,,,,,,
Field Manual - Update,14,3067,4,24,,,,Peter Steiner-Davion named Archon of the Lyran Alliance (ratified by the EstatesGeneral five days later); Yvonne SteinerDavion named Regent of the Federated Suns,,,,,,,
House Book House Davion,83,3067,4,24,,,,Yvonne Steiner-Davion named Regent of the Federated Suns; Peter Steiner-Davion named Archon of the Lyran Alliance.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,47,3070,4,24,3070,4,30,"Word of Blake forces assault Buckminster, but Delta Regiment of Wolf’s Dragoons blunts the attack—albeit at a terrible cost.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3072,22,3070,4,24,3070,4,30,"Word of Blake forces assault Buckminster, but the attack is blunted by Delta Regiment of Wolf’s Dragoons—albeit at a terrible cost.",,,,,,,
Field Manual - Update,8,3060,4,25,,,,"Victor Steiner-Davion addresses the Grand Council, repudiating the Clan Invasion; Sir Paul Masters becomes the first SLDF Ambassador to the Clans",,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",33,3060,4,25,,,,"Victor Steiner-Davion .goes before the Grand Council and announces the end of the invasion. He invites them to return and join the Star League, but threatens harsh reprisals for any military adverturism.",,,,,,,
Field Manual - Update,13,3066,4,25,,,,First assault on Taurus by the Fighting Urukhai,,,,,,,
Jihad Plot Sourcebook - Blake Ascending,175,3068,4,25,,,,Demeter’s government submits to Word of Blake control.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,44,3068,4,25,,,,Demeter’s government submits to Word of Blake control.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,48,3071,4,25,,,,"The Kaumberg Planetary Guard mobilizes in response to urgent pleas from the embattled Enzesfled government, an act that further inflames the militant Democracy Now movements on Batajnica on Calafell.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,15,3071,4,25,,,,"The Kaumberg Planetary Guard mobilizes in response to urgent pleas from the embattled Enzesfled government, an act that further inflames the militant Democracy Now movements on Batajnica on Calafell.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,47,3074,4,25,,,,"The Azami delegation arrives safely on Benjamin. Although the ten-day discussions fail to bring the Arkab worlds fully back into the Dragon’s fold, the two sides agree to focus all military energies on the common threat of the Word of Blake. The Combine promises to direct relief efforts to their stricken worlds.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,53,3075,4,25,,,,"Naomi Centrella-Liao visits Andurien as an envoy of both the Capellan Confederation and the Magitracy of Canopus. During the tense visit, the Magestrix reminds the Anduriens of the shared history of Canopus, Andurien, and House Liao, and pointedly warns Andurien against pursuing ""ambitions of the past"".",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - Terra,15,3075,4,25,,,,"Naomi Centrella-Liao visits Andurien as an envoy of both the Capellan Confederation and the Magistracy of Canopus. During the tense visit, the Magestrix reminds the Anduriens of the shared history of Canopus, Andurien, and House Liao, and pointedly warns Andurien against pursuing “ambitions of the past”.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,60,3081,4,25,,,,Exarch Devlin Stone announces the creation of Capellan Transitional Government to aid the integration of worlds in the former Chaos March/Capellancontested region.,,,,,,,
Era Report 2750,30,2575,4,26,,,,Star League Directive 22 Instituted: Required the member-states to contribute additional units and created the Star League Expeditionary Force to prosecute war against the Periphery.,,,,,,,
Era Report 2750,11,2575,4,26,,,,Directive 22 orders the Star League member states to contribute soldiers from their standing armies to the SLDF thereby creating the Star League Expeditionary Force (SLEF). Four Regional Operations Commands (corresponding to each Periphery realm) are created to prosecute war.,,,,,,,
Era Report 3145,18,3135,4,26,,,,Combine attack on Chichibu.,,,,,,,
Field Manual - 3145,23,3135,4,26,,,,Combine attack on Chichibu.,,,,,,,
Era Report 3145,20,3138,4,26,,,,Clan forces from Marik garrison Abadan and Avellaneda at the request of Jessica Marik.,,,,,,,
Field Manual - 3145,24,3138,4,26,,,,Clan forces from Marik garrison Abadan and Avellaneda at the request of Jessica Marik.,,,,,,,
Era Report 3062,26,3060,4,27,,,,"Displeased with the outcome of the Great Refusal, the Clan Grand Council votes to Abjure Clan Nova Cat for defecting to the Star League. The Nova Cats flee to Inner Sphere as Clan Ghost Bear already had. Trials to possess the abandoned territory flare to life.",,,,,,,
Field Manual - Update,8,3060,4,27,,,,Grand Council Abjures Clan Nova Cat; Khan Bjorn Jorgensson informs Grand Council that Clan Ghost Bear has left Clan Space,,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",33,3060,4,27,,,,"The Grand Council Abjures the Nova Cats, making them fair game for the other Clans. Several Warden Clans, most notably the Diamond Sharks and Snow Ravens, aid the Cats ' withdrawal from Clan space.",,,,,,,
Field Manual - Update,14,3067,4,27,,,,"When Grand Duke Morgan Kell refuses the post, Archon Peter Steiner-Davion appoints Caesar Steiner as the LAAF’s General of the Armies (pro-tem)",,,,,,,
Era Digest: Dark Age,10,3133,4,27,,,,Highlanders repulse Steel Wolves raid on Quentin.,,,,,,,
Historical - Operation Klondike,103,2822,4,28,,,,Babylon campaign concludes,,,,,,,
Historical - Wars of the Republic Era,16,3126,4,28,,,,Capellan agents begin stirring up trouble on Liao.,,,,,,,
Era Report 3145,20,3138,4,28,,,,Helm Massacre. Clan Wolf forces massacre surrendering Silver Hawks Irregulars troops.,,,,,,,
Field Manual - 3145,24,3138,4,28,,,,Helm Massacre. Clan Wolf forces massacre surrendering Silver Hawks Irregulars troops.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,54,3076,4,29,,,,"After refusing to join Stone’s allied coalition, Chancellor Sun-Tzu Liao and Magestrix Naomi Centrella-Liao state that CCAF and MAF commands will not interfere with any allied efforts to reclaim Capellan worlds.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - Terra,20,3076,4,29,,,,"After refusing to join Stone’s allied coalition, Chancellor Sun-Tzu Liao and Magestrix Naomi Centrella-Liao state that CCAF and MAF commands will not interfere with any allied e orts to reclaim Capellan worlds.",,,,,,,
Era Report 3145,20,3138,4,29,,,,Covenant Worlds Expeditionary Force leaves for Andurien.,,,,,,,
Field Manual - 3145,24,3138,4,29,,,,Covenant Worlds Expeditionary Force leaves for Andurien.,,,,,,,
Era Report 2750,12,2578,4,30,,,,The Star League formally declares war on the Taurian Concordat and suspends the Ares Conventions for the duration of the conflict. The Taurians reciprocate.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,53,3075,4,30,,,,"As part of an effort to reinforce the fragmenting Periphery front, the AFFS redeploys several Crucis March Militias to areas along the Malagrotta-Filtvelt region.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - Terra,15,3075,4,30,,,,"As part of an e ort to reinforce the fragmenting Periphery front, the AFFS redeploys several Crucis March Militias to areas along the Malagrotta-Filtvelt region.",,,,,,,
Era Report 3145,20,3138,4,30,,,,Lyrans seize Savannah.,,,,,,,
Field Manual - 3145,24,3138,4,30,,,,Lyrans seize Savannah.,,,,,,,
Era Digest: Dark Age,10,3134,4,Early,,,,Steel Wolves assault Terra.,,,,,,,
Field Manual - 3145,23,3134,4,Early,,,,Steel Wolves assault Terra.,,,,,,,
Era Report 3145,18,3135,4,Early,,,,Capellan attack on Demeter.,,,,,,,
Field Manual - 3145,23,3135,4,Early,,,,Capellan attack on Demeter.,,,,,,,
Historical - First Succession War,115,2805,4,Late,,,,CCAF seizes Fujidera,,,,,,,
Era Report 3052,15,3050,4,Late,,,,"The First Wave ends. upon learning about the invasion, Jaime Wolf recalls Wolf’s Dragoons to outreach.",,,,,,,
Era Report 3145,18,3135,4,Late,,,,Draconis Combine invades Republic.,,,,,,,
Field Manual - 3145,23,3135,4,Late,,,,Draconis Combine invades Republic.,,,,,,,
House Book - Star League,9,2023,4,,,,,Supplies airlifted from the Western Alliance are insufficient to make up for the effects of the Asian Co-Prosperity Sphere blockade. The Japanese government collapses. Public sentiment is split evenly between the two alliances. The Emperor of Japan assumes temporary control and imposes rationing. He requests major assistance from the Western Alliance.,,,,,,,
House Book House Davion,37,2527,4,,,,,"Alexander Davion, the ""Victor of Nahoni,"" trades captured Varnay troops and equipment for his wife and son.",,,,,,,
Era Report 2750,11,2575,4,,,,,Striking workers on Apollo declare themselves the Rim Provisional Government.,,,,,,,
Handbook House Marik,25,2584,4,,,,,Canopus falls to Captain-General Marion Marik. The Freebooters’ War begins.,,,,,,,
House Book House Davion,49,2762,4,,,,,First Lord Richard Cameron signs Executive Order 156 making illegal all House armies; he is immediately forced to rescind that order by the Star League Council.,,,,,,,
House Book House Davion,55,2788,4,,,,,"An AFFS special operations force attacks Hesperus II, initiating the Second Battle of Hesperus.",,,,,,,
Historical - First Succession War,114,2789,4,,2789,8,,"Free Worlds League forces firebomb Hall, Ingersoll, New Canton, and Outreach",,,,,,,
Historical - First Succession War,115,2794,4,,2794,7,,"LCAF forces capture Ellijay, raid Loburg and Kamenz",,,,,,,
Historical - First Succession War,115,2796,4,,,,,CCAF conquests in Terran Corridor continue Federated Suns off from Terra,,,,,,,
House Book House Davion,55,2796,4,,,,,"The Confederation again attacks the Suns’ Terran Corridor, ultimately taking the rest of the worlds there and cutting the nation o? from Terra.",,,,,,,
Scenario Pack - Sorensons Sabres,9,2796,4,,,,,The 5th Sword of Light is formed by selecting politically reliable MechWarriors from dispersed units.,,,,,,,
Scenario Pack - Sorensons Sabres,9,2796,4,,2837,,,"The 5th Swords serves as the Kurita Household Guard. Major elements of the regiment are stationed on the worlds of Pesht, New Samarkand, and Luthien.",,,,,,,
Historical - First Succession War,115,2800,4,,2800,5,,"DCMS captures Ronel, shatters CCAF defenders",,,,,,,
Historical - First Succession War,115,2801,4,,2801,7,,"LCAF captures Herzberg, raids Malazan, Finsterwalde, and Marsalle",,,,,,,
Historical - First Succession War,115,2805,4,,2805,12,,"AFFS recaptures New Valencia and Newton, begins attacks on Cartago, Elbar, and Lexington",,,,,,,
Historical - First Succession War,116,2806,4,,2806,6,,LCAF reclaims Bella l,,,,,,,
Historical - First Succession War,116,2808,4,,,,,"Ilsa Liao renounces claim to First Lordship, offers peace and recognition of title to Paul Davion in exchange for Chesterton",,,,,,,
House Book House Davion,55,2808,4,,,,,Chancellor Ilsa Liao proposes to recognize Paul Davion as First Lord in exchange for the Chesterton worlds; Prince Paul responds by dispatching forces into the embattled Capellan March to retake key Chesterton worlds.,,,,,,,
Historical - First Succession War,116,2812,4,,2812,9,,"AFFS retakes Dobson, New Ivaarsen, and Swales from DCMS",,,,,,,
Handbook House Marik,35,2813,4,,,,,"A series of battles for control of Bella I begins when Commonwealth troops recapture the world. Over the next three years, most of the League border fghting will center on this planet, and then expand along the border in a wave of furious new raids and assaults.",,,,,,,
Handbook House Steiner,37,2813,4,,,,,"A series of battles for control of Bella I begins when Commonwealth troops recapture the world. Over the next three years, most of the League border fghting will center on this world, then expand along the border in a wave of furious new raids and assaults.",,,,,,,
Historical - First Succession War,116,2813,4,,,,,"FWLM forces assault Bella I, beginning series of League-Commonwealth battles centered on this world",,,,,,,
Historical - First Succession War,116,2817,4,,2817,12,,"FWLM forces invade Bella I again, conquer world after nine-month battle",,,,,,,
Historical - First Succession War,116,2818,4,,2818,6,,"AFFS forces Draconis Combine back to its pre-war Draconis March borders with capture of Marduk, Scheat, and Tripoli",,,,,,,
Historical - First Succession War,116,2819,4,,2819,6,,LCAF takes Kalidasa,,,,,,,
Historical - First Succession War,116,2821,4,,,,,Thaddeus Marik killed in battle on Dieudonné,,,,,,,
Historical - Second Succession War,80,2829,4,,,,,Prince Paul Davion moves his field HQ to New Syrtis and names Damien Hasek the Duke of New Syrtis,,,,,,,
Scenario Pack - Sorensons Sabres,9,2837,4,,,,,"With the ascension of Zabu Kurita, the 5th Sword of Light is reassigned to the Sun Zhang Military Academy on New Samarkand.",,,,,,,
Historical - Second Succession War,81,2840,4,,2840,6,,"The Draconis Combine launches a renewed offensive against the Lyran Commonwealth, overwhelming defenders on Lambrecht, Harvest, and New Caledonia; The Fourth Royal Guards on New Caledonia are forced to wage a seven-year guerrilla campaign after Combine troops gain an unassailable planethead; Simultaneous raids along the rimward edge of the Commonwealth-Combine border prevent Lyran commanders from delivering effective reinforcements",,,,,,,
Historical - Second Succession War,82,2854,4,,,,,DCMS forces attack Kentares IV,,,,,,,
House Book House Davion,61,2854,4,,,,,DCMS forces attack Kentares IV.,,,,,,,
Handbook House Marik,47,3000,4,,,,,"Unknown forces raid Kalidasa’s ‘Mech factory. The assault is eventually traced to the Federated Suns, prompting SAFE to stage a covert six-year campaign against Davion targets, passing blame onto House Liao.",,,,,,,
House Book House Davion,71,3000,4,,,,,The AFFS raids FWL world of Kalidasa.,,,,,,,
Scenario Pack - Sorensons Sabres,10,3021,4,,,,,"Promoted, Daniel Sorenson commands the company. The company's AeroSpace Fighters are detached and assigned to defend District HQ on Galedon V. The unit is reorganized without them.",,,,,,,
Unit Book - Wolf's Dragoons,47,3023,4,,,,,Epsilon Regiment and the Black Widows engage the Eridani Light Horse on Hoff.,,,,,,,
Unit Book - Wolf's Dragoons,47,3025,4,,,,,Gamma Regiment and Zeta Battalion conclude the conquest of Deshler.,,,,,,,
Unit Book - Wolf's Dragoons,37,3027,4,,3028,5,20,"Battle of Misery conclude.  5 Ryuken regiments, 8th Sword of Light, 17th Galedon Regulars, and 21st Galedon Regulars fought against all 5 regiments of Wolf's Dragoons.  50% of Wolf's Dragoons was destroyed, along with 17th Galedon Regulars, half the Ryuken regiments, and the 21st Galedon Regulars were mauled.  ",,,,,,,
Unit Book - Wolf's Dragoons,47,3028,4,,,,,"Wolf sends a battle challenge to Takashi Kurita, having chosen Misery as the site of the encounter.",,,,,,,
Handbook House Marik,52,3039,4,,,,,"The War of 3039 starts. It ends in December, with minor Free Worlds League involvement.",,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",32,3039,4,,,,,War of 3039 begins (ending in December).,,,,,,,
Era Report 3062,12,3053,4,,,,,Terran Peace Summit occurs. ComStar relin quishes control of Mercenary Review Board and opens its historical archives to Inner Sphere citizens.,,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",32,3055,4,,,,,"Star Captain Trent of Clan Smoke Jaguar defects to ComStar. He journeys along the Exodus Road, arriving in the Inner Sphere in late 3058.",,,,,,,
Historical - Fedcom Civil War,14,3056,4,,,,,Skye Rebellion begins,,,,,,,
House Book House Davion,83,3056,4,,,,,Second Skye Rebellion begins.,,,,,,,
Era Report 3062,27,3062,4,,,,,"Isis Marik is expelled from Capellan Confederation by order of Sun-Tzu Liao. The engagement between the two, meant to unite the Confederation and the Free Worlds League as the marriage of Hanse Davion and Melissa Steiner once united the Federated Commonwealth, is aban doned. Tensions along the League-Confederation border flare in response.",,,,,,,
Jihad Plot Sourcebook - Blake Ascending,175,3068,4,,,,,"Numerous raids—many now believed to be the work of Blakist forces or their mercenary allies—hit Addicks, Edasich, Talcott and New Valencia.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,44,3068,4,,,,,"Numerous raiders either Blakist forces or their mercenary allies) hit Addicks, Edasich, Talcott, and New Valencia.",,,,,,,
Historical - Wars of the Republic Era,16,3134,4,,,,,The Steel Wolves raid Terra.,,,,,,,
Era Report 3145,18,3135,4,,,,,Rasalhague Dominion sends peacekeeping forces to several worlds in Prefecture I.,,,,,,,
Historical - Wars of the Republic Era,16,3135,4,,,,,The Draconis Combine invades the Republic.,,,,,,,
Field Manual - 3145,23,3136,4,,,,,Republic begins sending covert units outside the Fortress walls.,,,,,,,
Field Manual - 3145,24,3139,4,,,,,First wave of retooled factories begins turning out war materiel inside Fortress Republic.,,,,,,,
Era Report 3145,21,3141,4,,,,,Federated Suns counterattacks on worlds of the former Draconis Reach. Fighting eventually devolves into a war of attrition.,,,,,,,
Field Manual - 3145,24,3141,4,,,,,Federated Suns counterattacks on worlds of the former Draconis Reach. Fighting eventually devolves into a war of attrition.,,,,,,,
Era Report 3145,23,3143,4,,,,,"LCAF abandons all worlds rimwards of Abramkovo. FWLM does not advance farther than the Khon Kaen-Bella I line for now, per treaty with the Wolf Empire.",,,,,,,
Field Manual - 3145,24,3143,4,,,,,"LCAF abandons all worlds rimwards of Abramkovo. FWLM does not advance farther than the Khon Kaen-Bella I line for now, per treaty with the Wolf Empire.",,,,,,,
Dark Age - Shattered Fortress,99,3145,4,,,,,"Tucker Harwell, disillusioned and desperate, locates and thaws out former Exarch Devlin Stone on Terra.",,,,,,,
Dark Age - Shattered Fortress,99,3147,4,,,,,"Marian Hegemony conducts raids against FWL border worlds, claiming several.",,,,,,,
Dark Age - Shattered Fortress,100,3149,4,,,,,A team of Capellan diplomats meets with the Coordinator and offers a strategic alliance to coordinate a two-pronged assault on the Republic.,,,,,,,
Dark Age - Shattered Fortress,100,3149,4,,,,,Operation PERCEVAL liberates Coloma and its neighbors.,,,,,,,
Dark Age - Shattered Fortress,101,3150,4,,,,,"Clan Wolf turns its leading forces on Paladin Ergen’s conquests, retaking all four worlds over the next two months. On Wing, Paladin Ergen is grievously wounded in a duel with Anastasia Kerensky and evacuated to Terra.",,,,,,,
Dark Age - Shattered Fortress,101,3150,4,,,,,The Dominion takes advantage of light Combine defenses and seizes Dyev and Lambrecht for their Vega province.,,,,,,,
Dark Age - Shattered Fortress,101,3150,4,,,,,Toranaga ends DCMS participation in TIAMAT.,,,,,,,
House Book House Davion,55,2787,5,1,,,,Draconis Combine begins a massive assault upon the Federated Suns’ Draconis March.,,,,,,,
Historical - Fedcom Civil War,13,3051,5,1,,,,The battle of Tukayyid begins,,,,,,,
Era Report 3052,19,3052,5,1,,,,"The battle of Tukayyid begins, as does operation scorpion.",,,,,,,
Handbook House Marik,55,3052,5,1,,,,"The Battle of Tukayyid begins. ComStar’s Primus, Myndo Waterly, launches Operation Scorpion—an attempt by ComStar to take control of the Inner Sphere that ultimately fails. [21 May] The Battle of Tukayyid fnishes, ending the frst Clan war [17 June] Sun-Tzu Liao announces his forthcoming marriage to Isis Marik. Prince Hanse Davion dies. Victor Steiner-Davion becomes First Prince of the Federated Commonwealth.",,,,,,,
House Book House Davion,79,3052,5,1,,,,Battle of Tukayyid begins.,,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",32,3052,5,1,3052,5,21,"Battle of Tukayyid begins, as does ComStar's Operation Scorpion. The 21-day engagement ends in victory for ComStar and a fifteen-year truce barring further Clan advances.",,,,,,,
Era Report 3062,26,3059,5,1,,,,"Task Force Serpent begins its year-long journey to Huntress, from the planet Defiance in the Federated Commonwealth.",,,,,,,
Field Manual - Update,8,3059,5,1,,,,"Operation Serpent task force leaves Defiance, bound for the Smoke Jaguar capital of Huntress",,,,,,,
Historical - Fedcom Civil War,15,3059,5,1,,,,"The Operation Serpent task force leaves Defiance, bound for the Smoke Jaguar capital of Huntress, AFFC Marshal of the Armies Morgan Hasek-Davion commanding",,,,,,,
House Book House Davion,83,3059,5,1,,,,The Operation SERPENT task force departs for Huntress.,,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",32,3059,5,1,,,,Task Force Serpent begins its journey to Huntress.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,46,3069,5,1,3069,5,14,"Clan Snow Raven ships attack and seize the Combine worlds of Valentina, Budingen, Weisau and Schirmeck, even as Combine forces arrive to expel FedSuns forces on Matsuida and the FedSuns troops on Galedon V finally retreat in the midst of an epidemic outbreak. Meanwhile, Capellan Death Commandos raid Kathil and cripple the Davion shipyards there.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3072,14,3069,5,1,3069,5,14,"Clan Snow Raven ships attack and seize the Combine worlds of Valentina, Budingen, Weisau and Schirmeck, even as Combine forces arrive to expel FedSuns forces on Matsuida and the FedSuns troops on Galedon V finally retreat in the midst of an epidemic outbreak. Meanwhile, Capellan Death Commandos raid Kathil and cripple the Davion shipyards there.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,49,3072,5,1,,,,A Jumpship loaded with ComStar HPG administrators expelled from the Outworlds Alliance arrives at Sterlington and is destroyed by local aerospace forces believing them to be a Blakist trick.,,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,21,3072,5,1,,,,A Jumpship loaded with ComStar HPG administrators expelled from the Outworlds Alliance arrives at Sterlington and is destroyed by local aerospace forces believing them to be a Blakist trick.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,51,3074,5,1,,,,"Several asteroids strike Taurus, obliterating the capital city of Samantha and killing Protector Grover Shraplen. Evidence recovered from the asteroid remains and Taurian asteroid field implicate FedSuns espionage, a charge House Davion vehemently denies.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,51,3074,5,1,,,,"Several asteroids strike Taurus, obliterating the capital city of Samantha and killing Protector Grover Shraplen. Evidence recovered from the asteroid remains and Taurian asteroid field implicate FedSuns espionage, a charge House Davion vehemently denies.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,53,3075,5,1,,,,"Kaumberg Planetary Guard forces reclaim Akfata, but in the fighting to retake Vermezzo, Democracy Now forces resort to scorched earth tactics and taking hostages to stave off their inevitable defeat. The destruction leaves thousands homeless, dead, or injured. On this same day, Magestrix Naomi CentrellaLiao departs from Andurien, en route to Canopus with a signed non-aggression pact that covers the Capellan, Canopian, and Andurien states.",,,,,,,
